block_number,timestamp,total_debt,debt_floor,spot_price
22074526,2025-03-18 19:01:59,0,"1000000000000000000, 1100000000000000000",2000545333505519818
22078026,2025-03-19 06:46:23,1000000000000000000000,"1000000000000000000, 1100000000000000000",1999720287497617539
22081526,2025-03-19 18:30:59,2196000000000000000000,"1000000000000000000, 1100000000000000000",2003148343179048127
22085026,2025-03-20 06:15:11,15669014978000000000000,"1000000000000000000, 1100000000000000000",2000302764182874442
22088526,2025-03-20 17:58:59,16912681638000000000000,"1000000000000000000, 1100000000000000000",2007327531120585080
22092026,2025-03-21 05:42:23,16912681638000000000000,"1000000000000000000, 1100000000000000000",2011735382641822338
22095526,2025-03-21 17:25:23,20312681638000000000000,"1000000000000000000, 1100000000000000000",2009432844217522574
22099026,2025-03-22 05:06:23,39422681638000000000000,"1000000000000000000, 1100000000000000000",2013376667471052465
22102526,2025-03-22 16:50:23,39462681666000000000000,"1000000000000000000, 1100000000000000000",2010892734996819146
22106026,2025-03-23 04:33:11,39462681666000000000000,"1000000000000000000, 1100000000000000000",2007966658785074229
22109526,2025-03-23 16:14:59,39462681666000000000000,"1000000000000000000, 1100000000000000000",2008538840387635595
22113026,2025-03-24 03:58:23,39462681666000000000000,"1000000000000000000, 1100000000000000000",2005208663824437005
22116526,2025-03-24 15:40:23,39462681666000000000000,"1000000000000000000, 1100000000000000000",2005752584450830441
22120026,2025-03-25 03:24:35,39462681666000000000000,"1000000000000000000, 1100000000000000000",2007615431819965712
22123526,2025-03-25 15:09:23,39462681666000000000000,"1000000000000000000, 1100000000000000000",2005036940170212275
22127026,2025-03-26 02:55:11,39462681666000000000000,"1000000000000000000, 1100000000000000000",2008256855882924771
22130526,2025-03-26 14:37:35,59464389306000000000000,"1000000000000000000, 1100000000000000000",2011947653960609711
22134026,2025-03-27 02:19:35,59464389306000000000000,"1000000000000000000, 1100000000000000000",2007396340440571721
22137526,2025-03-27 14:03:11,59464389306000000000000,"1000000000000000000, 1100000000000000000",2007358276806440150
22141026,2025-03-28 01:46:47,57864389306000000000000,"1000000000000000000, 1100000000000000000",2002043484852518184
22144526,2025-03-28 13:30:11,57864389306000000000000,"1000000000000000000, 1100000000000000000",2002086651500831296
22148026,2025-03-29 01:14:59,57864389306000000000000,"1000000000000000000, 1100000000000000000",2000556339700146635
22151526,2025-03-29 12:59:59,57864389306000000000000,"1000000000000000000, 1100000000000000000",2000819295400711594
22155026,2025-03-30 00:43:47,57864389306000000000000,"1000000000000000000, 1100000000000000000",2003505736986294590
22158526,2025-03-30 12:27:11,55891374328000000000000,"1000000000000000000, 1100000000000000000",2000424125694775445
